post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2017-09-21 00:00:00","<fortran>","0","103","2","","1","2"
"2008-12-24 00:00:00","<fortran>","9","5135","3","4","0","1"
"2009-05-08 00:00:00","<fortran>","25","42989","3","10","1","1"
"2009-08-25 00:00:00","<fortran>","6","2798","3","1","1","2"
"2009-10-09 00:00:00","<fortran>","0","545","3","","0","2"
"2009-10-23 00:00:00","<fortran>","3","738","1","1","3","1"
"2010-01-12 00:00:00","<fortran>","11","25011","3","1","0","1"
"2010-02-13 00:00:00","<fortran>","8","3150","2","9","0","1"
"2010-05-25 00:00:00","<fortran>","2","2730","2","","2","1"
"2010-11-08 00:00:00","<fortran>","13","7205","5","5","0","1"
"2011-01-18 00:00:00","<fortran>","2","1092","2","1","0","1"
"2011-08-26 00:00:00","<fortran>","1","1770","1","1","0","1"
"2011-08-31 00:00:00","<fortran>","2","1245","2","","3","1"
"2011-09-06 00:00:00","<fortran>","1","7166","3","","0","1"
"2011-09-22 00:00:00","<fortran>","1","148","1","","0","1"
"2011-10-05 00:00:00","<fortran>","1","662","1","","4","1"
"2011-12-08 00:00:00","<fortran>","9","11526","1","","0","1"
"2011-12-15 00:00:00","<fortran>","0","8674","2","3","0","1"
"2012-01-03 00:00:00","<fortran>","1","4630","1","","0","1"
"2012-01-29 00:00:00","<fortran>","2","198","1","1","2","1"
"2012-02-06 00:00:00","<fortran>","-1","283","1","","1","1"
"2012-02-07 00:00:00","<fortran>","5","812","1","","2","1"
"2012-02-09 00:00:00","<fortran>","0","334","1","","0","1"
"2012-03-06 00:00:00","<fortran>","1","538","1","","0","1"
"2012-06-04 00:00:00","<fortran>","0","3252","2","1","1","1"
"2012-08-07 00:00:00","<fortran>","0","200","2","","0","1"
"2012-10-04 00:00:00","<fortran>","3","227","2","","0","1"
"2012-10-28 00:00:00","<fortran>","1","1132","1","","0","1"
"2012-10-31 00:00:00","<fortran>","1","621","2","","9","2"
"2013-01-02 00:00:00","<fortran>","6","3895","3","2","1","1"
"2013-01-16 00:00:00","<fortran>","0","1114","2","","9","1"
"2013-02-16 00:00:00","<fortran>","0","2036","1","","2","1"
"2013-03-02 00:00:00","<fortran>","2","148","1","1","0","1"
"2013-03-15 00:00:00","<fortran>","-1","221","1","","3","1"
"2013-04-16 00:00:00","<fortran>","1","98","1","","1","1"
"2013-06-02 00:00:00","<fortran>","2","4273","2","0","1","1"
"2013-06-05 00:00:00","<fortran>","6","31617","2","","5","2"
"2013-06-10 00:00:00","<fortran>","-3","373","1","1","4","1"
"2013-06-26 00:00:00","<fortran>","0","175","1","","0","1"
"2013-07-18 00:00:00","<fortran>","1","708","1","","1","1"
"2013-07-25 00:00:00","<fortran>","0","218","1","","2","1"
"2013-08-18 00:00:00","<fortran>","1","188","1","","2","1"
"2013-08-29 00:00:00","<fortran>","-1","228","1","","4","1"
"2013-10-29 00:00:00","<fortran>","3","5646","2","2","1","1"
"2014-01-22 00:00:00","<fortran>","0","2463","1","","0","1"
"2014-02-04 00:00:00","<fortran>","5","1780","2","1","2","1"
"2014-02-20 00:00:00","<fortran>","2","207","3","","0","2"
