post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2014-02-23 00:00:00","<d3.js>","2","1470","2","","0","2"
"2014-03-05 00:00:00","<d3.js>","4","5561","2","","3","2"
"2014-03-13 00:00:00","<d3.js>","2","1986","3","","7","3"
"2014-04-01 00:00:00","<d3.js>","0","2121","3","","1","3"
"2014-04-08 00:00:00","<d3.js>","1","684","0","","13","2"
"2014-04-09 00:00:00","<d3.js>","3","700","0","","3","1"
"2014-04-21 00:00:00","<d3.js>","2","4923","2","1","0","2"
"2014-04-27 00:00:00","<d3.js>","3","889","2","1","4","3"
"2014-04-29 00:00:00","<d3.js>","0","132","0","","5","1"
"2014-05-15 00:00:00","<d3.js>","0","300","0","","11","1"
"2014-05-23 00:00:00","<d3.js>","0","1862","2","","2","2"
"2014-05-29 00:00:00","<d3.js>","0","202","1","","7","2"
"2014-06-03 00:00:00","<d3.js>","1","2735","2","","0","2"
"2014-06-06 00:00:00","<d3.js>","1","1650","1","","1","1"
"2014-06-13 00:00:00","<d3.js>","0","169","1","","4","2"
"2014-06-14 00:00:00","<d3.js>","0","1280","2","","0","2"
"2014-06-16 00:00:00","<d3.js>","0","411","2","","2","3"
"2014-06-22 00:00:00","<d3.js>","-1","360","1","","0","1"
"2014-06-29 00:00:00","<d3.js>","0","50","0","0","3","1"
"2014-07-29 00:00:00","<d3.js>","0","137","0","","7","2"
"2014-08-05 00:00:00","<d3.js>","1","1560","1","","0","1"
"2014-08-08 00:00:00","<d3.js>","0","1307","2","","6","2"
"2014-08-16 00:00:00","<d3.js>","12","3476","1","","0","1"
"2014-08-19 00:00:00","<d3.js>","1","205","1","","2","2"
"2014-09-04 00:00:00","<d3.js>","1","223","2","1","0","2"
"2014-09-14 00:00:00","<d3.js>","0","970","1","","2","2"
"2014-09-20 00:00:00","<d3.js>","0","444","1","","11","3"
"2014-09-28 00:00:00","<d3.js>","1","358","2","","0","1"
"2014-10-06 00:00:00","<d3.js>","0","206","0","","3","1"
"2014-10-16 00:00:00","<d3.js>","1","243","3","1","0","3"
"2014-10-22 00:00:00","<d3.js>","-1","926","3","","7","2"
"2014-10-24 00:00:00","<d3.js>","0","1643","2","","3","2"
"2014-11-06 00:00:00","<d3.js>","3","1821","2","2","0","2"
"2014-12-05 00:00:00","<d3.js>","0","417","1","0","0","1"
"2014-12-16 00:00:00","<d3.js>","0","494","1","","2","2"
"2014-12-19 00:00:00","<d3.js>","6","3018","1","1","0","1"
"2014-12-24 00:00:00","<d3.js>","0","581","3","","1","1"
"2014-12-26 00:00:00","<d3.js>","1","417","2","","1","1"
"2012-04-10 00:00:00","<d3.js>","0","4272","1","2","0","1"
"2012-06-29 00:00:00","<d3.js>","11","7782","2","7","0","1"
"2012-07-04 00:00:00","<d3.js>","6","14386","2","1","0","1"
"2012-07-14 00:00:00","<d3.js>","24","56431","3","7","0","1"
"2012-07-15 00:00:00","<d3.js>","9","5182","1","2","0","1"
"2012-07-17 00:00:00","<d3.js>","3","3489","2","0","7","2"
"2012-07-23 00:00:00","<d3.js>","1","684","0","","1","1"
