post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2010-05-27 00:00:00","<perl>","13","23062","8","0","2","3"
"2010-08-28 00:00:00","<perl>","46","94969","6","10","3","3"
"2010-11-21 00:00:00","<perl>","3","1587","5","0","1","2"
"2014-05-20 00:00:00","<perl>","3","571","3","0","0","2"
"2013-12-12 00:00:00","<perl>","9","1928","14","1","24","8"
"2011-05-05 00:00:00","<perl>","1","2653","6","","3","2"
"2015-03-24 00:00:00","<perl>","-2","373","6","0","6","4"
"2016-02-23 00:00:00","<pascal>","-1","83","1","","4","1"
"2017-03-23 00:00:00","<pascal>","0","336","1","","7","1"
"2015-03-26 00:00:00","<fortran>","-3","54","1","","3","1"
"2016-08-13 00:00:00","<rust>","1","328","1","","5","3"
"2016-02-17 00:00:00","<rust>","6","4088","2","","2","1"
"2014-09-10 00:00:00","<rust>","1","453","1","","0","1"
"2016-08-04 00:00:00","<rust>","2","615","4","","6","4"
"2016-02-08 00:00:00","<perl>","-2","41","1","","1","1"
"2016-01-11 00:00:00","<perl>","9","730","16","0","31","9"
"2014-05-22 00:00:00","<perl>","-1","734","14","3","41","9"
"2016-07-06 00:00:00","<perl>","-4","368","8","","23","5"
"2017-12-06 00:00:00","<perl>","-1","125","3","1","8","2"
"2009-05-01 00:00:00","<fortran>","0","691","2","","2","1"
"2012-07-23 00:00:00","<perl>","15","2175","5","3","6","3"
"2009-06-10 00:00:00","<perl>","4","458","3","","1","1"
"2014-01-10 00:00:00","<fortran>","3","420","4","","0","1"
"2012-07-13 00:00:00","<perl>","9","3181","10","","21","5"
"2011-02-28 00:00:00","<perl>","2","857","1","","0","1"
"2014-03-09 00:00:00","<fortran>","2","942","3","","10","2"
"2013-11-02 00:00:00","<perl>","0","295","3","","7","2"
"2015-12-18 00:00:00","<perl>","4","293","7","","7","4"
"2010-10-20 00:00:00","<perl>","8","3704","13","5","4","4"
"2014-10-25 00:00:00","<rust>","0","306","2","","0","2"
"2014-11-13 00:00:00","<rust>","3","1294","1","","5","1"
"2015-08-29 00:00:00","<rust>","17","5937","5","1","4","5"
"2014-11-02 00:00:00","<fortran>","0","211","2","","0","1"
"2010-04-04 00:00:00","<perl>","5","2614","10","2","2","3"
"2016-12-08 00:00:00","<perl>","2","154","4","","9","4"
"2015-01-14 00:00:00","<perl>","-9","362","3","1","22","3"
"2017-11-24 00:00:00","<perl>","-5","107","5","","10","2"
"2015-02-10 00:00:00","<rust>","-2","446","3","","3","2"
"2012-12-24 00:00:00","<perl>","3","9788","3","1","0","2"
"2014-07-07 00:00:00","<perl>","6","1446","6","1","22","5"
"2015-05-20 00:00:00","<perl>","-6","346","6","","17","3"
"2016-08-28 00:00:00","<perl>","3","192","2","1","6","1"
"2016-05-31 00:00:00","<perl>","10","393","6","1","4","4"
