post_date,tags,score_days,favourites_days,answers_days,comments_days,usage_cnt
"2008-11-17 00:00:00","<javascript>","6","1","6","1","2"
"2008-11-18 00:00:00","<php>","1","1","2","","1"
"2008-11-19 00:00:00","<javascript>","6","1","20","1","6"
"2008-11-19 00:00:00","<php>","2","0","7","3","2"
"2008-11-23 00:00:00","<delphi>","3","0","7","1","1"
"2008-11-24 00:00:00","<jquery>","","","1","","1"
"2008-11-27 00:00:00","<delphi>","3","1","4","","1"
"2008-11-30 00:00:00","<php>","2","0","8","","2"
"2008-12-01 00:00:00","<jquery>","","","3","","1"
"2008-12-01 00:00:00","<php>","1","0","10","","2"
"2008-12-03 00:00:00","<javascript>","9","1","16","","3"
"2008-12-05 00:00:00","<php>","5","4","14","7","2"
"2008-12-09 00:00:00","<delphi>","4","0","5","","2"
"2008-12-09 00:00:00","<jquery>","2","0","2","","1"
"2008-12-14 00:00:00","<php>","1","0","3","","1"
"2008-12-15 00:00:00","<jquery>","","","2","","1"
"2008-12-15 00:00:00","<php>","1","0","3","2","1"
"2008-12-18 00:00:00","<javascript>","1","0","11","","3"
"2008-12-20 00:00:00","<html>","1","0","2","","1"
"2008-12-22 00:00:00","<php>","8","3","4","","1"
"2008-12-23 00:00:00","<css>","0","1","5","","1"
"2008-12-23 00:00:00","<delphi>","3","0","3","","1"
"2008-12-24 00:00:00","<jquery>","1","0","3","","1"
"2008-12-24 00:00:00","<php>","2","1","7","","3"
"2008-12-31 00:00:00","<php>","","","4","1","1"
"2009-01-01 00:00:00","<php>","0","1","1","2","1"
"2009-01-02 00:00:00","<css>","","","8","","2"
"2009-01-04 00:00:00","<jquery>","","","1","2","1"
"2009-01-04 00:00:00","<php>","2","1","8","2","2"
"2009-01-05 00:00:00","<php>","2","2","7","5","1"
"2009-01-06 00:00:00","<html>","1","0","10","2","3"
"2009-01-06 00:00:00","<javascript>","4","0","6","","2"
"2009-01-08 00:00:00","<jquery>","","","2","1","1"
"2009-01-11 00:00:00","<php>","2","0","6","","2"
"2009-01-12 00:00:00","<javascript>","1","1","10","","2"
"2009-01-14 00:00:00","<delphi>","0","1","1","","1"
