post_date,TagName,num_per_day
"2016-11-18 00:00:00","perl","19"
"2015-02-19 00:00:00","scala","43"
"2015-01-09 00:00:00","vba","64"
"2010-02-09 00:00:00","shell","17"
"2017-08-05 00:00:00","python","468"
"2014-07-01 00:00:00","sql","443"
"2008-11-07 00:00:00","delphi","26"
"2011-10-02 00:00:00","delphi","15"
"2014-03-22 00:00:00","delphi","7"
"2009-06-20 00:00:00","c","39"
"2014-11-22 00:00:00","javascript","590"
"2015-12-13 00:00:00","hadoop","19"
"2017-07-23 00:00:00","shell","27"
"2013-03-01 00:00:00","perl","78"
"2015-08-20 00:00:00","perl","44"
"2014-06-13 00:00:00","pascal","5"
"2016-12-01 00:00:00","pascal","2"
"2011-04-22 00:00:00","vba","8"
"2015-06-04 00:00:00","swift","210"
"2017-08-29 00:00:00","delphi","17"
"2010-10-25 00:00:00","html","183"
"2013-09-16 00:00:00","c++","421"
"2014-08-26 00:00:00","fortran","5"
"2016-05-26 00:00:00","java","931"
"2011-02-13 00:00:00","hadoop","1"
"2010-10-21 00:00:00","perl","66"
"2013-04-27 00:00:00","ruby","64"
"2016-04-24 00:00:00","go","22"
"2017-03-17 00:00:00","rust","4"
"2011-03-22 00:00:00","shell","25"
"2010-09-07 00:00:00","python","171"
"2011-08-27 00:00:00","css","121"
"2016-04-05 00:00:00","cobol","3"
"2010-12-23 00:00:00","c","123"
"2017-06-17 00:00:00","c++","147"
"2013-05-15 00:00:00","fortran","3"
"2014-07-23 00:00:00","hadoop","29"
"2017-06-16 00:00:00","hadoop","24"
"2010-12-17 00:00:00","ruby","78"
"2015-04-14 00:00:00","vba","70"
"2014-03-28 00:00:00","sql","472"
"2011-02-11 00:00:00","css","168"
"2016-06-25 00:00:00","css","203"
"2008-08-13 00:00:00","c","10"
"2009-09-24 00:00:00","c++","191"
"2010-01-23 00:00:00","javascript","108"
"2011-11-23 00:00:00","html","358"
"2009-01-31 00:00:00","jquery","32"
"2014-01-09 00:00:00","scala","40"
"2017-04-19 00:00:00","ruby","104"
"2014-10-21 00:00:00","go","17"
"2013-07-18 00:00:00","c#","1029"
"2012-08-25 00:00:00","java","410"
"2013-09-18 00:00:00","php","907"
"2013-10-18 00:00:00","scala","43"
"2012-06-20 00:00:00","ruby","164"
"2011-11-11 00:00:00","pascal","1"
"2016-05-10 00:00:00","rust","6"
"2016-05-12 00:00:00","vba","91"
"2008-12-23 00:00:00","shell","3"
"2010-01-13 00:00:00","css","76"
"2008-08-26 00:00:00","c++","70"
"2017-02-10 00:00:00","cobol","1"
"2016-02-13 00:00:00","c","177"
"2012-01-24 00:00:00","fortran","2"
"2014-07-14 00:00:00","fortran","1"
"2011-07-14 00:00:00","vba","10"
"2016-08-02 00:00:00","jquery","562"
"2016-02-02 00:00:00","java","957"
"2008-11-19 00:00:00","php","64"
"2017-02-25 00:00:00","php","500"
"2010-02-09 00:00:00","ruby","91"
"2009-07-02 00:00:00","pascal","1"
"2014-03-24 00:00:00","jquery","876"
"2011-01-12 00:00:00","perl","63"
"2013-07-19 00:00:00","ruby","135"
"2011-01-29 00:00:00","ruby","60"
"2017-11-14 00:00:00","vba","94"
"2016-01-13 00:00:00","cobol","1"
"2016-01-16 00:00:00","fortran","2"
"2008-11-24 00:00:00","java","122"
"2012-01-01 00:00:00","perl","29"
"2016-07-26 00:00:00","scala","52"
"2017-10-13 00:00:00","swift","194"
"2009-10-30 00:00:00","shell","18"
"2009-08-09 00:00:00","python","71"
"2017-12-27 00:00:00","sql","204"
"2016-04-03 00:00:00","css","257"
"2017-09-29 00:00:00","delphi","19"
"2008-11-04 00:00:00","c","49"
"2016-02-18 00:00:00","c#","822"
"2013-02-26 00:00:00","java","1169"
"2010-09-08 00:00:00","java","439"
"2008-08-28 00:00:00","php","27"
"2015-02-24 00:00:00","go","23"
"2014-05-24 00:00:00","rust","10"
"2017-04-17 00:00:00","rust","5"
"2010-09-06 00:00:00","vba","1"
"2010-10-08 00:00:00","python","189"
"2012-11-30 00:00:00","delphi","25"
"2009-10-24 00:00:00","c","69"
"2011-04-21 00:00:00","c#","847"
"2012-04-13 00:00:00","c","217"
"2011-06-10 00:00:00","html","352"
"2014-07-11 00:00:00","cobol","1"
"2017-01-07 00:00:00","vba","25"
"2016-08-02 00:00:00","swift","267"
"2016-10-22 00:00:00","html","320"
"2017-02-10 00:00:00","hadoop","26"
"2017-06-19 00:00:00","php","570"
"2013-11-24 00:00:00","perl","28"
"2016-10-18 00:00:00","perl","32"
"2011-01-17 00:00:00","ruby","115"
"2011-12-24 00:00:00","html","144"
"2012-04-14 00:00:00","c++","275"
"2012-02-26 00:00:00","c#","418"
"2015-01-20 00:00:00","c#","792"
"2010-05-09 00:00:00","c","97"
"2009-01-25 00:00:00","perl","2"
"2014-08-29 00:00:00","vba","36"
"2014-09-30 00:00:00","python","471"
"2011-02-22 00:00:00","sql","206"
"2011-06-21 00:00:00","scala","42"
"2017-05-20 00:00:00","ruby","46"
"2013-08-22 00:00:00","go","5"
"2013-04-02 00:00:00","pascal","1"
"2016-07-16 00:00:00","go","9"
"2011-10-05 00:00:00","vba","29"
"2017-02-08 00:00:00","css","546"
"2013-10-16 00:00:00","c","248"
"2015-02-08 00:00:00","fortran","4"
"2015-01-29 00:00:00","jquery","665"
"2016-01-28 00:00:00","php","823"
